id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,recharge_only,platinum_price,countries
1,Middle East 1GB,0,Middle East,2,1,7,esimgnr_1GB_7D_RME_U,10.00,6.00,3.50,0,0,1,43:19.7,43:19.7,\N,3,1,4.80,"ARE, SAU, KWT, OMN, ISR, JOR"
2,Pakistan 1GB,0,Asia,2,1,7,sheesh-7days-1gb,4.50,3.20,1.70,0,0,0,26:01.2,07:21.7,\N,1,0,2.50,PAK
3,St. Vincent And The Grenadines 1GB,0,Caribbean,2,1,7,esim_1GB_7D_VC_V2,12.00,10.00,7.46,0,0,0,26:01.2,07:21.7,\N,3,0,8.80,VCT
4,Netherlands 1GB,0,Europe,2,1,7,esim_1GB_7D_NL_V2,5.00,2.50,1.45,0,0,0,26:01.2,07:21.7,\N,3,0,2.00,NLD
5,Africa-11 1GB,0,Africa,2,1,7,esim_1GB_7D_RAF_V2,11.00,8.50,6.90,0,0,1,26:01.2,07:21.7,\N,3,0,7.70,"EGY, KEN, MDG, MUS, MAR, NGA, TUN, UGA, ZMB, ZAF, TZA"
6,North America 1GB,0,North America,2,1,7,esim_1GB_7D_RNA_V2,5.00,4.25,3.48,0,0,1,26:01.2,07:21.7,\N,3,0,3.90,"CAN, MEX, USA"
8,Mexico 1GB,0,North America,2,1,7,esim_1GB_7D_MX_V2,5.00,4.25,3.34,0,0,0,26:01.2,07:21.7,\N,3,0,3.80,MEX
10,Canada 1GB,0,North America,2,1,7,esim_1GB_7D_CA_V2,5.00,3.50,2.60,0,0,0,26:01.3,07:21.7,\N,3,0,3.10,CAN
12,Martinique 1GB,0,Caribbean,2,1,7,jardin-mobile-7days-1gb,4.50,3.50,2.60,0,0,0,26:01.3,07:21.7,\N,1,0,3.10,MTQ
13,Jamaica 1GB,0,Caribbean,2,1,7,esim_1GB_7D_JM_V2,12.00,10.00,7.46,0,0,0,26:01.3,07:21.7,\N,3,0,8.80,JAM
14,Kenya 1GB,0,Africa,2,1,7,esim_1GB_7D_KE_V2,9.00,8.00,6.90,0,0,0,26:01.3,07:21.7,\N,3,0,7.50,KEN
15,Kazakhstan 1GB,0,Asia,2,1,7,kazaknet-7days-1gb,4.50,3.25,1.90,0,0,0,26:01.3,07:21.7,\N,1,0,2.60,KAZ
16,Sri Lanka 1GB,0,Asia,2,1,7,esim_1GB_7D_LK_V2,5.00,3.50,2.28,0,0,0,26:01.3,07:21.7,\N,3,0,2.90,LKA
17,Hong Kong 1GB,0,Asia,2,1,7,esim_1GB_7D_HK_V2,5.00,3.50,2.05,0,0,0,26:01.3,07:21.7,\N,3,0,2.80,HKG
18,Spain 1GB,0,Europe,2,1,7,esim_1GB_7D_ES_V2,5.00,2.50,1.59,0,0,0,26:01.3,07:21.7,\N,3,0,2.10,ESP
19,Slovenia 1GB,0,Eastern Europe,2,1,7,esim_1GB_7D_SI_V2,5.00,2.50,1.45,0,0,0,26:01.3,07:21.7,\N,3,0,2.00,SVN
20,United Kingdom 1GB,0,Europe,2,1,7,esim_1GB_7D_GB_V2,5.00,2.50,1.36,0,0,0,26:01.3,07:21.7,\N,3,0,2.00,GBR
21,Saint Kitts And Nevis 1GB,0,Caribbean,2,1,7,esim_1GB_7D_KN_V2,12.00,10.00,7.46,0,0,0,26:01.4,07:21.7,\N,3,0,8.80,KNA
