id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,recharge,countries
1,Middle East 1GB,0,Middle East,2,1,7,esimg_1GB_7D_RME_U,10.00,8.50,6.98,0,0,1,2023-06-24 13:26:01,2024-04-09 16:49:51,\N,3,0,
2,Pakistan 1GB,0,Asia,2,1,7,sheesh-7days-1gb,4.50,3.10,1.70,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:54,\N,1,0,
3,St. Vincent And The Grenadines 1GB,0,Caribbean,2,1,7,tobago-7days-1gb,9.50,9.00,8.10,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:58,\N,1,0,
4,Netherlands 1GB,0,Europe,2,1,7,esim_1GB_7D_NL_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:52,\N,3,0,
5,Africa-11 1GB,0,Africa,2,1,7,esim_1GB_7D_RAF_V2,10.00,8.50,6.90,0,0,1,2023-06-24 13:26:01,2024-04-09 16:49:34,\N,3,0,
6,North America 1GB,0,North America,2,1,7,esim_1GB_7D_RNA_V2,5.00,4.25,3.48,0,0,1,2023-06-24 13:26:01,2024-04-09 16:49:53,\N,3,0,
7,Caribbean 1GB,0,Caribbean,2,1,7,island-hopper-7days-1gb,15.00,14.00,12.80,0,0,1,2023-06-24 13:26:01,2024-04-09 16:49:39,\N,1,0,
8,Mexico 1GB,0,North America,2,1,7,esim_1GB_7D_MX_V2,5.00,4.25,3.34,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:51,\N,3,0,
9,Saint Lucia 1GB,0,Caribbean,2,1,7,lucnet-7days-1gb,9.50,9.00,8.10,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:56,2023-09-05 14:12:16,1,0,
10,Canada 1GB,0,North America,2,1,7,esim_1GB_7D_CA_V2,7.00,3.50,2.86,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:39,\N,3,0,
11,LATAMS 1GB,0,LATAM,2,1,7,esim_1GB_7D_RLA_V2,12.50,10.00,3.40,0,0,1,2023-06-24 13:26:01,2024-04-09 16:49:48,\N,3,0,
12,Martinique 1GB,0,Caribbean,2,1,7,jardin-mobile-7days-1gb,4.50,3.50,2.60,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:50,\N,1,0,
13,Jamaica 1GB,0,Caribbean,2,1,7,jammcom-7days-1gb,9.50,9.00,8.10,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:47,\N,1,0,
14,Kenya 1GB,0,Africa,2,1,7,esim_1GB_7D_KE_V2,9.50,8.00,6.90,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:48,\N,3,0,
15,Kazakhstan 1GB,0,Asia,2,1,7,kazaknet-7days-1gb,4.50,3.25,1.90,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:48,\N,1,0,
16,Sri Lanka 1GB,0,Asia,2,1,7,esim_1GB_7D_LK_V2,5.00,3.50,2.28,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:57,\N,3,0,
17,Hong Kong 1GB,0,Asia,2,1,7,esim_1GB_7D_HK_V2,5.00,3.25,2.05,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:46,\N,3,0,
18,Spain 1GB,0,Europe,2,1,7,esim_1GB_7D_ES_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:57,\N,3,0,
19,Slovenia 1GB,0,Eastern Europe,2,1,7,esim_1GB_7D_SI_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:57,\N,3,0,
20,United Kingdom 1GB,0,Europe,2,1,7,esim_1GB_7D_GB_V2,5.00,2.50,1.36,0,0,0,2023-06-24 13:26:01,2024-04-09 16:50:00,\N,3,0,
21,Saint Kitts And Nevis 1GB,0,Caribbean,2,1,7,kittcom-7days-1gb,9.50,9.00,8.10,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:56,\N,1,0,
22,Russia 1GB,0,Eastern Europe,2,1,7,esim_1GB_7D_RU_V2,5.00,3.50,2.63,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:55,\N,3,0,
23,Ukraine 1GB,0,Europe,2,1,7,esim_1GB_7D_UA_V2,5.00,2.50,1.82,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:59,\N,3,0,
24,Turkey 1GB,0,Europe,2,1,7,esim_1GB_7D_TR_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:59,\N,3,0,
25,Moldova 1GB,0,Europe,2,1,7,soroca-mobile-7days-1gb,4.50,3.50,1.40,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:51,\N,1,0,
26,Malta 1GB,0,Europe,2,1,7,esim_1GB_7D_MT_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:50,\N,3,0,
27,Sweden 1GB,0,Europe,2,1,7,esim_1GB_7D_SE_V2,5.00,2.50,1.36,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:58,\N,3,0,
28,Macedonia 1GB,0,Europe,2,1,7,matka-mobile-7days-1gb,4.50,3.50,1.70,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:50,\N,1,0,
29,Serbia 1GB,0,Eastern Europe,2,1,7,serbia-mobile-7days-1gb,4.50,3.10,1.70,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:56,\N,1,0,
