id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,countries
621,Aaland Islands 10GB,0,Europe,2,10,30,esim_10GB_30D_AX_V2,25,20,13.56,0,0,0,2023-09-04 17:24:02,2023-11-30 21:37:33,\N,3,AX
618,Aaland Islands 1GB,0,Europe,2,1,7,esim_1GB_7D_AX_V2,6,3.5,1.98,0,0,0,2023-09-04 17:07:40,2023-11-30 21:37:33,\N,3,AX
622,Aaland Islands 20GB,0,Europe,2,20,30,esim_20GB_30D_AX_V2,45,35,24.07,0,0,0,2023-09-04 17:26:50,2023-11-30 21:37:33,\N,3,AX
0,Aaland Islands 2GB,0,Europe,2,2,15,esim_2GB_15D_AX_V2,10,5,3.48,0,0,0,,,,3,AX
619,Aaland Islands 3GB,0,Europe,2,3,30,esim_3GB_30D_AX_V2,12,7,4.72,0,0,0,2023-09-04 17:18:51,2023-11-30 21:37:33,\N,3,AX
0,Aaland Islands 50GB,0,Europe,2,50,30,esim_50GB_30D_AX_V2,90,75,54.1,0,0,0,,,,3,AX
620,Aaland Islands 5GB,0,Europe,2,5,30,esim_5GB_30D_AX_V2,15,12,7.55,0,0,0,2023-09-04 17:21:00,2023-11-30 21:37:33,\N,3,AX
0,Aaland Islands UNL 10D,0,Europe,2,Unlimited,10,esim_UL_10D_AX_V2,50,30,21.92,0,0,0,,,,3,AX
0,Aaland Islands UNL 15D,0,Europe,2,Unlimited,15,esim_UL_15D_AX_V2,75,50,32.65,0,0,0,,,,3,AX
0,Aaland Islands UNL 1D,0,Europe,2,Unlimited,1,esim_UL_1D_AX_V2,7.5,5,2.62,0,0,0,,,,3,AX
0,Aaland Islands UNL 30D,0,Europe,2,Unlimited,30,esim_UL_30D_AX_V2,100,85,64.82,0,0,0,,,,3,AX
0,Aaland Islands UNL 3D,0,Europe,2,Unlimited,3,esim_UL_3D_AX_V2,18,15,6.91,0,0,0,,,,3,AX
0,Aaland Islands UNL 5D,0,Europe,2,Unlimited,5,esim_UL_5D_AX_V2,25,17.5,11.2,0,0,0,,,,3,AX
0,Aaland Islands UNL 7D,0,Europe,2,Unlimited,7,esim_UL_7D_AX_V2,30,20,15.49,0,0,0,,,,3,AX
96,Afghanistan,0,Middle East,2,1,7,sohbat-mobile-7days-1gb,8,6.5,4.5,0,0,0,2023-06-24 13:26:02,2023-07-21 12:52:48,\N,1,AF
590,Afghanistan 10GB,0,Middle East,2,10,30,30,88,86,79.11,0,0,0,2023-06-24 13:26:03,2023-12-06 13:10:49,2023-12-06 13:10:50,2,AF
613,Afghanistan 10GB,0,Middle East,2,10,30,30,88,86,0,0,0,0,2023-09-04 15:58:47,2023-12-06 13:10:55,2023-12-06 13:10:56,2,AF
579,Afghanistan 3GB,0,Middle East,2,3,30,sohbat-mobile-30days-3gb,17,14.5,12.6,0,0,0,2023-06-24 13:26:03,2023-12-06 13:12:39,\N,1,AF
577,Afghanistan 5GB,0,Middle East,2,5,30,sohbat-mobile-30days-5gb,25.5,23.5,21.5,0,0,0,2023-06-24 13:26:03,2023-12-06 13:10:36,2023-12-06 13:10:37,1,AF
806,Africa 29 10GB,0,Africa,2,10,30,CKH498,100,90,0,0,0,1,2023-12-08 23:25:24,2024-02-09 17:33:23,\N,4,"BW,BF,CF,TD,CG,CD,CI,EG,GA,GH,GW,KE,LR,MG,MW,ML,MA,NE,NG,RE,SN,SC,ZA,SD,SZ,TZ,TN,UG,ZM"
807,Africa 29 20GB,0,Africa,2,20,30,CKH846,150,130,0,0,0,1,2023-12-08 23:31:12,2024-02-09 17:33:23,\N,4,"BW,BF,CF,TD,CG,CD,CI,EG,GA,GH,GW,KE,LR,MG,MW,ML,MA,NE,NG,RE,SN,SC,ZA,SD,SZ,TZ,TN,UG,ZM"
0,Africa UNL 10D,0,Africa,2,Unlimited,10,esim_UL_10D_RAF_V2,100,95,86.27,0,0,1,,,,3,"EG,MA,TZ,UG,TN,ZA,ZM,MG,NG,KE,MU"
0,Africa UNL 15D,0,Africa,2,Unlimited,15,esim_UL_15D_RAF_V2,150,142,129.17,0,0,1,,,,3,"EG,MA,TZ,UG,TN,ZA,ZM,MG,NG,KE,MU"
0,Africa UNL 1D,0,Africa,2,Unlimited,1,esim_UL_1D_RAF_V2,12.5,11,9.05,0,0,1,,,,3,"EG,MA,TZ,UG,TN,ZA,ZM,MG,NG,KE,MU"
0,Africa UNL 3D,0,Africa,2,Unlimited,3,esim_UL_3D_RAF_V2,36,32,26.21,0,0,1,,,,3,"EG,MA,TZ,UG,TN,ZA,ZM,MG,NG,KE,MU"
0,Africa UNL 5D,0,Africa,2,Unlimited,5,esim_UL_5D_RAF_V2,60,54,43.37,0,0,1,,,,3,"EG,MA,TZ,UG,TN,ZA,ZM,MG,NG,KE,MU"
0,Africa UNL 7D,0,Africa,2,Unlimited,7,esim_UL_7D_RAF_V2,75,70,60.53,0,0,1,,,,3,"EG,MA,TZ,UG,TN,ZA,ZM,MG,NG,KE,MU"
539,Africa-11 10GB,0,Africa,2,10,30,esim_10GB_30D_RAF_V2,65,60,52.81,0,0,1,2023-06-24 13:26:03,2023-09-13 15:38:46,\N,3,"EG,MA,TZ,UG,TN,ZA,ZM,MG,NG,KE,MU"
5,Africa-11 1GB,0,Africa,2,1,7,esim_1GB_7D_RAF_V2,10,8.5,6.48,0,0,1,2023-06-24 13:26:01,2023-09-13 15:38:26,\N,3,"EG,MA,TZ,UG,TN,ZA,ZM,MG,NG,KE,MU"
