id,plan_name,global_plan,is_Regional,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id
143,Algeria,0,0,Africa,2,1,7,algecom-7days-1gb,7,6.5,7,1,0,0,2023-06-24 13:26:01.737343,2023-06-24 13:26:01.737343,(NULL),1
46,Benin,0,0,Africa,2,1,7,cotton-mobile-7days-1gb,9.5,9,9.5,1,0,0,2023-06-24 13:26:01.419882,2023-06-24 13:26:01.419882,(NULL),1
36,Botswana,0,0,Africa,2,1,7,maun-telecom-7days-1gb,8,7.5,8,1,0,0,2023-06-24 13:26:01.386393,2023-06-24 13:26:01.386393,(NULL),1
50,Burkina Faso,0,0,Africa,2,1,7,volta-7days-1gb,9.5,9,9.5,1,0,0,2023-06-24 13:26:01.424298,2023-06-24 13:26:01.424298,(NULL),1
51,Cameroon,0,0,Africa,2,1,7,esimg_1GB_7D_CM_U,12,9,7.5,0,0,0,2023-06-24 13:26:01.440345,2023-06-24 13:26:01.440345,(NULL),3
45,Cape Verde,0,0,Africa,2,1,7,fogotel-7days-1gb,9.5,9,9.5,1,0,0,2023-06-24 13:26:01.404257,2023-06-24 13:26:01.404257,(NULL),1
153,Central African Republic,0,0,Africa,2,1,7,esimg_1GB_7D_CF_U,15,12,9.8,0,0,0,2023-06-24 13:26:01.763003,2023-06-24 13:26:01.763003,(NULL),3
114,Chad,0,0,Africa,2,1,7,esimg_1GB_7D_TD_U,9.5,7.2,5.8,0,0,0,2023-06-24 13:26:01.629319,2023-06-24 13:26:01.629319,(NULL),3
145,Congo,0,0,Africa,2,1,7,esimg_1GB_7D_CG_U,9.5,7.2,5.8,0,0,0,2023-06-24 13:26:01.740408,2023-06-24 13:26:01.740408,(NULL),3
559,Cote d'Ivoire,0,0,Africa,2,1,7,esimg_1GB_7D_CI_U,15,12,9.8,0,0,0,2023-06-24 13:26:02.749451,2023-06-24 13:26:02.749451,(NULL),3
122,DRC,0,0,Africa,2,1,7,esimg_1GB_7D_CD_U,9.5,7.2,5.8,0,0,0,2023-06-24 13:26:01.656437,2023-06-24 13:26:01.656437,(NULL),3
